Μαρια
Ελενη
ελένη
Γεωργιος
Αικατερινη
Βασιλικη
Δημητριος
Κωνσταντινος
Ιωαννης
Νικολαος
Γεωργια
Σοφια
Αναστασια
Ευαγγελια
Ιωαννα
Δημητρα
Ειρηνη
Χρηστος
Παναγιωτα
Χριστινα
Παναγιωτης
Βασιλειος
Κωνσταντινα
Αννα
Αγγελικη
Αθανασιος
Δεσποινα
Παρασκευη
Φωτεινη
Αλεξανδρα
Ευαγγελος
Κυριακη
Θεοδωρα
Σταυρουλα
Χρυσουλα
Καλλιοπη
Αθανασια
Ελευθερια
Αθηνα
Μιχαηλ
Αλεξανδρος
Στυλιανη
Ολγα
Ζωη
Θεοδωρος
Αναστασιος
Σπυριδων
Αντωνιος
Εμμανουηλ
Ελισαβετ
Ηλιας
Ευγενια
Ανδρεας
Μαρινα
Ευθυμια
Αποστολος
Χαραλαμπος
Χαρικλεια
Σταυρος
Νικη
Αντωνια
Ουρανια
Πετρος
Στυλιανος
Σωτηριος
Ευφροσυνη
Μαγδαληνη
Χρυσανθη
Αφροδιτη
Θωμας
Σπυριδουλα
Αργυρω
Σωτηρια
Μαργαριτα
Βαϊα
Ευανθια
Ευτυχια
Πηνελοπη
Στεφανος
Πολυξενη
Βαρβαρα
Λαμπρινη
Νικολετα
Ελευθεριος
Φανη
Φωτιος
Γρηγοριος
Ευσταθια
Σταματια
Κωνσταντια
Νικολεττα
Σουλτανα
Αγγελος
Αμαλια
Στελλα
Χρυση
Διονυσιος
Ασπασια
Μαρθα
Ευδοκια
Αντιγονη
Αρετη
Παυλος
Κωνσταντινια
Παντελης
Ασημινα
Ιουλια
Ευδοξια
Ολυμπια
Διονυσια
Ευθυμιος
Ευσταθιος
Κυριακος
Αριστειδης
Λαμπρος
Ελπιδα
Λεωνιδας
Ευστρατιος
Ανδρονικη
Μαριος
Αλεξια
Ανθουλα
Ευθαλια
Αδαμ
Βικτωρια
Τριανταφυλλια
Αγλαϊα
Νεκταρια
Παρθενα
Ανδρομαχη
Αριστεα
Ηλιανα
Λαζαρος
Γερασιμος
Αχιλλεας
Στεργιος
Γλυκερια
Δαφνη
Δημος
Ελλη
Ιφιγενεια
Ανθη
Ζαχαρουλα
Ανδριανα
Αργυριος
Θωμαη
Σαββας
Αρτεμις
Σταματιος
Στεφανια
Νεκταριος
Βασιλεια
Στεργιανη
Αλικη
Μελπομενη
Αιμιλια
Βιργινια
Σεβαστη
Πελαγια
Ευμορφια
Νικολιτσα
Παγωνα
Κλεοπατρα
Πασχαλης
Αλεξιος
Αγαθη
Ευστρατια
Θεοφανης
Λεμονια
Παρασκευας
Χριστοφορος
Λουκια
Μιλτιαδης
Ναταλια
Περικλης
Σταματινα
Φιλιππος
Αποστολια
Χαριλαος
Θεοδοσια
Πασχαλια
Αργυρη
Αστεριος
Αγαπη
Θεανω
Αριστοτελης
Σωκρατης
Χαραλαμπια
Ελπινικη
Καλλιρροη
Γαρυφαλλια
Δαναη
Ζησης
Μαρκος
Μυρτω
Ξανθη
Θεοχαρης
Πανωραια
Αγοριτσα
Ηρακλης
Χριστιανα
Ανδριανη
Εμμανουελα
Ζαχαριας
Ιορδανης
Χρυσα
Αγνη
Γαρυφαλια
Ευτερπη
Λουκας
Χρυσοβαλαντης
Θεμιστοκλης
Πασχαλινα
Πετρουλα
Βαϊος
Κοσμας
Χρυσαυγη
Χαρουλα
Ακριβη
Επαμεινωνδας
Θαλεια
Χαϊδω
Χρυσοβαλαντου
Δωροθεα
Ευαγγελη
Ζηνοβια
